source_id	url	filename	expected_kind
nias_1886_tbg31	https://kitlv-docs.library.leiden.edu/open/Metamorfoze/TBG/MMKITLV01_PDF_TS2332_1886_31.pdf	1886_TBG31_Sundermann_Niassische_Erzaehlungen_source_volume.pdf	PDF
borneo_hose_mcdougall_1912_v1	https://archive.org/download/pagantribesofbor01hose/pagantribesofbor01hose.pdf	1912_Hose_McDougall_Pagan_Tribes_of_Borneo_v1.pdf	PDF
borneo_hose_mcdougall_1912_v2	https://archive.org/download/pagantribesofbor02hose/pagantribesofbor02hose.pdf	1912_Hose_McDougall_Pagan_Tribes_of_Borneo_v2.pdf	PDF
sarawak_roth_1896_v1	https://archive.org/download/nativesofsarawak01roth/nativesofsarawak01roth.pdf	1896_Roth_Natives_of_Sarawak_and_British_North_Borneo_v1.pdf	PDF
seram_sachse_1907	https://www.gutenberg.org/ebooks/62553.txt.utf-8	1907_Sachse_Het_eiland_Seran_en_zijne_bewoners.txt	TEXT
nantang_kr2i0017_000	https://raw.githubusercontent.com/kanripo/KR2i0017/master/KR2i0017_000.txt	Mashi_Nantangshu_SBCK_000.txt	TEXT
nantang_kr2i0017_001	https://raw.githubusercontent.com/kanripo/KR2i0017/master/KR2i0017_001.txt	Mashi_Nantangshu_SBCK_001.txt	TEXT
nantang_kr2i0017_002	https://raw.githubusercontent.com/kanripo/KR2i0017/master/KR2i0017_002.txt	Mashi_Nantangshu_SBCK_002.txt	TEXT
nantang_kr2i0017_003	https://raw.githubusercontent.com/kanripo/KR2i0017/master/KR2i0017_003.txt	Mashi_Nantangshu_SBCK_003.txt	TEXT
nantang_kr2i0017_004	https://raw.githubusercontent.com/kanripo/KR2i0017/master/KR2i0017_004.txt	Mashi_Nantangshu_SBCK_004.txt	TEXT
nantang_kr2i0017_005	https://raw.githubusercontent.com/kanripo/KR2i0017/master/KR2i0017_005.txt	Mashi_Nantangshu_SBCK_005.txt	TEXT
nantang_kr2i0017_006	https://raw.githubusercontent.com/kanripo/KR2i0017/master/KR2i0017_006.txt	Mashi_Nantangshu_SBCK_006.txt	TEXT
nantang_kr2i0017_007	https://raw.githubusercontent.com/kanripo/KR2i0017/master/KR2i0017_007.txt	Mashi_Nantangshu_SBCK_007.txt	TEXT
nantang_kr2i0017_008	https://raw.githubusercontent.com/kanripo/KR2i0017/master/KR2i0017_008.txt	Mashi_Nantangshu_SBCK_008.txt	TEXT
